,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
225,Ohio State,32,17,15,.531,17.81,12.53,,9,11,,11,6,,4,7,,2522,2353,,1310,878,1884,.466,261,710,.368,505,675,.748,305,1077,422,208,115,349,626
226,Oklahoma NCAA,34,20,14,.588,14.87,11.22,,6,12,,12,5,,2,7,,2661,2537,,1360,886,1894,.468,288,788,.365,601,756,.795,287,1092,457,265,78,411,629
227,Oklahoma State,33,16,17,.485,6.90,10.38,,7,13,,13,3,,2,10,,2412,2527,,1320,812,1905,.426,218,665,.328,570,790,.722,373,1162,415,298,91,446,640
228,Old Dominion,35,15,20,.429,-9.56,-4.10,,8,10,,7,9,,5,7,,2376,2502,,1410,839,2120,.396,218,758,.288,480,669,.717,500,1345,369,193,118,400,586
229,Omaha NCAA,35,22,13,.629,-1.44,-2.26,,13,3,,11,2,,7,9,,2707,2634,,1400,941,2051,.459,288,808,.356,537,744,.722,360,1254,465,207,82,379,639
230,Oral Roberts,30,7,23,.233,-11.59,-0.66,,3,13,,7,7,,0,15,,2200,2356,,1205,738,1693,.436,280,773,.362,444,590,.753,252,940,306,149,70,348,532
231,Oregon NCAA,34,25,9,.735,17.96,11.99,,12,8,,12,4,,7,4,,2596,2393,,1375,915,1992,.459,264,768,.344,502,657,.764,346,1216,493,247,127,386,551
232,Oregon State,32,20,12,.625,8.80,2.19,,10,8,,15,3,,3,7,,2441,2200,,1295,844,1745,.484,228,620,.368,525,668,.786,302,1069,467,210,100,350,508
233,Pacific,33,9,24,.273,-6.87,2.32,,4,14,,5,10,,2,13,,2295,2500,,1330,819,1883,.435,212,707,.300,445,614,.725,343,1156,421,188,94,432,610
234,Penn State,31,16,15,.516,13.58,7.71,,6,14,,11,6,,3,8,,2452,2270,,1240,858,1792,.479,222,648,.343,514,680,.756,291,1045,496,250,126,384,512
235,Pennsylvania,27,8,19,.296,-10.35,-2.54,,4,10,,5,8,,3,10,,1878,2089,,1085,666,1578,.422,228,700,.326,318,456,.697,261,927,371,133,47,300,413
236,Pepperdine,35,13,22,.371,-2.58,2.81,,4,14,,7,9,,2,11,,2560,2681,,1400,923,2080,.444,246,722,.341,468,654,.716,351,1226,555,213,96,386,550
237,Pittsburgh,32,17,15,.531,13.37,8.34,,8,12,,13,4,,3,9,,2428,2267,,1290,834,1851,.451,265,766,.346,495,633,.782,314,1068,429,233,132,319,526
238,Portland,32,12,20,.375,-7.07,2.40,,7,11,,9,7,,3,9,,2334,2574,,1300,805,1843,.437,272,788,.345,452,582,.777,266,1083,496,149,99,408,487
239,Portland State,32,19,13,.594,-4.22,-5.08,,11,7,,13,1,,5,10,,2418,2227,,1285,913,1932,.473,201,615,.327,391,621,.630,387,1179,468,264,157,407,560
240,Prairie View,32,5,27,.156,-19.22,-7.22,,4,14,,3,7,,2,19,,2286,2637,,1280,820,1884,.435,202,634,.319,444,643,.691,283,894,390,259,102,381,604
241,Presbyterian,32,14,18,.438,-6.60,-4.46,,7,9,,8,5,,4,12,,2379,2263,,1295,868,1854,.468,234,635,.369,409,589,.694,324,1079,424,215,103,340,580
242,Princeton,30,19,11,.633,-2.70,-2.35,,8,6,,9,4,,7,4,,2209,2162,,1200,791,1824,.434,316,889,.355,311,438,.710,291,1014,455,221,65,313,466
243,Providence,32,12,20,.375,7.42,8.58,,6,14,,10,6,,2,9,,2283,2320,,1285,807,1833,.440,297,834,.356,372,542,.686,362,1186,413,159,109,407,550
244,Purdue NCAA,34,23,11,.676,20.50,13.56,,13,7,,14,2,,5,6,,2645,2409,,1360,941,1924,.489,278,725,.383,485,667,.727,333,1113,537,220,56,349,544
245,Purdue Fort Wayne,32,19,13,.594,-0.99,-4.05,,12,8,,12,2,,6,10,,2583,2388,,1295,918,1955,.470,330,890,.371,417,556,.750,243,969,434,278,89,306,503
246,Queens (NC),33,19,14,.576,-5.02,-4.79,,11,7,,9,5,,9,9,,2527,2445,,1335,878,1970,.446,306,886,.345,465,677,.687,381,1232,527,217,175,414,560
247,Quinnipiac,33,20,13,.606,-5.73,-7.51,,15,5,,12,2,,7,10,,2439,2358,,1325,864,2026,.426,227,767,.296,484,634,.763,390,1263,455,272,154,425,539
248,Radford,33,20,13,.606,-2.58,-3.29,,9,7,,10,3,,7,9,,2441,2314,,1330,824,1813,.454,242,664,.364,551,722,.763,375,1167,374,183,103,374,564
249,Rhode Island,31,18,13,.581,1.34,-0.62,,7,11,,14,3,,1,9,,2419,2328,,1255,828,1782,.465,236,673,.351,527,759,.694,311,1160,430,184,104,401,508
250,Rice,32,13,19,.406,-1.94,-1.97,,4,14,,7,8,,4,8,,2249,2249,,1290,748,1778,.421,227,688,.330,526,772,.681,394,1223,379,149,99,377,571
251,Richmond,32,10,22,.313,-5.14,1.80,,5,13,,6,9,,2,11,,2137,2302,,1310,729,1745,.418,250,797,.314,429,542,.792,208,996,373,191,66,327,560
252,Rider,33,14,19,.424,-11.90,-7.08,,9,11,,5,7,,8,11,,2211,2370,,1320,814,1894,.430,178,571,.312,405,561,.722,369,1131,416,177,102,370,476
253,Robert Morris NCAA,34,25,9,.735,0.44,-4.65,,15,5,,15,2,,8,6,,2604,2408,,1385,903,2020,.447,258,741,.348,540,748,.722,426,1274,542,214,153,436,568
254,Rutgers,32,15,17,.469,10.38,10.91,,8,12,,11,5,,3,8,,2465,2482,,1305,865,1939,.446,231,703,.329,504,702,.718,358,1129,413,225,125,349,547
255,Sacramento State,32,7,25,.219,-13.90,-3.86,,3,15,,5,11,,2,13,,2119,2257,,1280,746,1741,.428,262,798,.328,365,541,.675,302,1070,418,190,97,422,592
256,Sacred Heart,33,15,18,.455,-8.86,-8.27,,10,10,,8,5,,5,11,,2502,2481,,1325,895,2043,.438,318,910,.349,392,536,.731,389,1223,547,243,98,406,520
257,Saint Francis (PA) NCAA,33,16,17,.485,-11.73,-4.54,,8,8,,5,3,,3,7,,2338,2343,,1345,875,1899,.461,269,801,.336,319,439,.727,284,1130,469,203,81,421,491
